postal_code,departement,nb_departements,nb_communes,population_2009,menages_2009,naissances_2011,deces_2011,logements_2009,residencesprincipales_2009,residencessec_2009,logvacants_2009,residencesprincipales_proprietaire_2009,ffiscaux_2009,ffiscaux_imposables_2009,revenufiscalmedianmoyen_2010,emploi_2009,population_1564_2009,chomage_1564_2009,actifs_1564_2009,ets_2010,ets_agri_2010,ets_indus_2010,ets_construc_2010,ets_comm_plus_services_2010,ets_comm_2010,ets_admin_2010,ets_service_2010,ets_1_9_2010,ets_10plus_2010
07560,07,1,2,843.00000000000102,371.73211562684105,10,14,708.25711562684103,371.73211562684105,285.39999999999998,51.125,270.39272073491804,435,168,15656,269.96766590891912,468.91796899303603,47.195386804090397,317.48535010649101,97,29,11,8,35,11,14,24,15,5
07690,07,1,6,3256.9999999999968,1377.9792403189094,34,22,1833.7160442971126,1377.9792403189094,290.29335966027747,165.4434443179257,1044.2960348944134,1882,874,16144.9,424.12686125100697,2118.8546339696613,120.21349944852307,1517.9168336879986,257,94,27,23,85,27,28,58,48,4
08130,08,1,23,4311,1808.6385771438481,41,32,2253.723329954677,1808.6385771438481,235.17985504534019,209.90489776548904,1400.3323868731927,2466,1063,16108.25,992.23635053912517,2661.2095372969138,217.17115812636982,1893.8195468131796,499,206,29,39,161,58,64,103,112,15
08220,08,1,19,3537.0000000000014,1497.2706190210549,41,38,1945.7857954173562,1497.2706190210549,269.2525506529845,179.26262574331693,1211.2187682938963,1993,738,15439.5,602.22135631552351,2140.6079699363349,191.35404835712458,1434.4265394847368,416,241,16,39,74,28,46,46,93,5
08310,08,1,19,4397.9999999999991,1689.5995972836504,72,39,1880.5886842028262,1689.5995972836504,51.487403442792143,139.50168347638356,1307.1953755577224,2264,1237,18442.944444444445,1269.7744688760461,2692.0711384167089,157.50604449292368,2077.5614706955689,545,310,26,29,133,44,47,89,133,14
08400,08,1,34,9230.0000000000091,4154.1889573635517,98,136,4914.9226567056112,4154.1889573635517,313.82284256206947,446.91085677998888,2752.5321893051737,5415,2396,17154.566666666666,3407.2020439603775,5641.1089201526993,458.95786944541612,3947.0508236462292,941,279,68,71,386,137,137,249,251,61
08700,08,1,5,10142.999999999996,4064.6386236044018,106,115,4422.359374846762,4064.6386236044018,60.847291508000012,296.87345973435686,2580.5915938411308,5545,2359,16824,1975.2388877289986,6550.6761615241894,808.61910757368651,4459.3759291618207,489,33,69,54,256,95,77,161,126,31
09160,09,1,10,2764.9999999999991,1282.3045650475017,21,22,1725.6422837184214,1282.3045650475017,305.13774843111878,138.19997023980187,933.97029916177223,1758,748,17276.055555555555,497.71316532528755,1637.6109732986129,140.88263928054332,1165.1526061580228,269,95,23,41,73,25,37,48,48,7
09270,09,1,1,3560,1476.06154714851,31,51,1783.6904436217701,1476.06154714851,110.866258144586,196.76263832867903,831.78712591756198,2071,870,16407,1503.5923225044098,2117.3326635001799,200.01355166572603,1622.1264379269503,363,57,37,43,177,58,49,119,76,21
09390,09,1,1,91.000000000000099,38.868848491040097,1,1,111.43765583049,38.868848491040097,31.100917431192599,41.467889908256801,8.1873516144965599,52,30,,71.865663041382788,63.409831656711297,2.04683790362414,44.988290524093998,39,0,4,1,28,10,6,18,12,1
10000,10,1,1,61188,30390.776254378598,848,530,33876.529345162307,30390.776254378598,418.63839821094001,3067.1146925727903,9614.8348826357906,35730,16348,15239,34447.269298201201,40760.720649824601,5366.6852724998598,28089.931612636097,5087,38,247,261,3562,948,979,2614,1639,440
10170,10,1,14,4474.9999999999991,1832.5296272404271,59,50,2143.287688754916,1832.5296272404271,108.43040613708776,202.32765537740181,1374.6729935507328,2526,1307,18255.692307692309,1204.1403449715028,2774.0883219749803,205.94251004137189,2087.9559008801207,443,170,51,47,127,27,48,100,119,14
10250,10,1,5,2493.9999999999991,1082.4040843670591,27,31,1390.5301555049211,1082.4040843670591,113.11927863429709,195.00679250356549,791.20866159235004,1431,728,20618.700000000001,887.98437732721118,1526.0841021124818,136.56957841667383,1102.6914828384761,430,238,45,23,102,34,22,68,116,13
