departement,nb_communes,population_2009,menages_2009,naissances_2011,deces_2011,logements_2009,residencesprincipales_2009,residencessec_2009,logvacants_2009,residencesprincipales_proprietaire_2009,ffiscaux_2009,ffiscaux_imposables_2009,revenufiscalmedianmoyen_2010,emploi_2009,population_1564_2009,chomage_1564_2009,actifs_1564_2009,ets_2010,ets_agri_2010,ets_indus_2010,ets_construc_2010,ets_comm_plus_services_2010,ets_comm_2010,ets_admin_2010,ets_service_2010,ets_1_9_2010,ets_10plus_2010,ratio_imposable_2009
22,373,587519,261077.74860962055,6221,6835,338593.80455209198,261077.74860962055,53783.214409737237,23732.841532734299,184299.67857511621,337055,168932,16924.61820652174,222581.77957112627,357048.04126495036,23024.826208376955,252933.32773315551,52386,11874,2971,4973,25599,7603,6969,17996,14129,3154,0.50120010087374467
08,463,283296,120290.88228788099,3137,2746,136964.2950983379,120290.88228788099,5180.8815063409784,11492.531304115812,71537.21352506394,158540,72228,17176.737942122185,99662.210902549617,181539.30533839655,18289.174434611585,125573.62580070883,21286,4237,1604,1994,10228,3386,3223,6842,6059,1436,0.45558218746057777
27,675,582822,235506.08359761641,7738,4893,270102.45715193445,235506.08359761641,19037.290404897012,15559.083149421211,150674.3474929028,321431,177424,19927.785256410258,204030.04253196582,376708.01103585056,31016.958054090897,275604.99001675769,41269,5609,2612,4832,22748,7071,5468,15677,11910,2886,0.55198160725007861
02,816,539870,222949.36055495741,6939,5341,252163.48670009378,222949.36055495741,10037.518232826153,19176.607912310399,139015.62279132649,302247,141465,17589.9584,183575.48166515006,345284.25827442604,34522.588060008871,240139.43230055232,35976,6532,2248,3521,17902,5676,5773,12226,11013,2632,0.46804434783471799
23,260,123583.99999999999,57450.80420852817,967,1949,85706.0195680576,57450.80420852817,17938.839661810121,10316.375697719324,41015.04069869384,74347,31292,15247.019736842105,45597.746848900068,73662.959956817082,5316.3275281490778,51346.359782132822,14528,5296,860,1227,5287,1517,1858,3770,3235,580,0.42089122627678321
35,353,977449,420273.19260647648,13033,7256,482611.59301157627,420273.19260647648,31976.829626301089,30361.570778797963,252558.8512846707,525080,291520,18068.406876790832,437168.16804522462,639653.54330945108,39182.677034008804,465170.44991174614,78311,10937,4364,6595,44716,11897,11699,32819,21182,6434,0.55519158985297479
2A,124,141329.99999999994,59881.636540071122,1422,1444,101033.17565102212,59881.636540071122,37228.425573862907,3923.1135370882107,33389.874271126944,82884,41749,17014.126436781607,56809.564954727299,90498.884160989328,7168.1089523230767,63170.516580933167,20251,1469,950,2837,12708,3415,2287,9293,5275,976,0.50370397181603199
11,438,353980,157068.2124056562,3789,3866,237701.38567991831,157068.2124056562,62117.381619991946,18515.791654269855,99465.314268869362,203672,89261,15639.359589041096,123127.77008263806,217448.00001372624,22674.455290558064,148233.83836170647,42993,11636,2196,4137,19935,6468,5089,13467,9438,1830,0.43825857260693662
29,283,893914,402054.21531406173,9615,9562,502668.16514531878,402054.21531406173,66824.011995164852,33789.937836092802,279546.51053209224,510183,267713,17891.916666666668,358287.7130635496,563847.59319243871,39678.616223381672,398589.89210037194,70611,11190,4272,6870,37551,10462,10728,27089,20008,5026,0.52473916222218298
74,294,725794,309276.39107403473,9476,4750,443319.61587248545,309276.39107403473,108474.18361285875,25569.041185592021,189587.26748994496,407825,246802,24017.249140893469,288693.6399196579,482248.51017474389,29991.39736557116,372216.53011493012,75427,4060,4304,7864,46367,12170,12832,34197,19919,4762,0.60516643168025497
